category,text
관람객,신파만 조금 줄였으면 더 좋았을뻔 했네요~! 조우진님 연기는 말할 필요가 없이 좋았고 지창욱님 연기변신 괜찮았어요
관람객,조우진 배우님 연기 대단하십니다 증말
관람객,배우분들의 연기가 뛰어나서 몰입도 있게 봤어요
관람객,조우진 연기 정말 좋았네요 굿굿
관람객,1점도 아까운 영화 내용에 대한 허점이 너무 많음 이게 평점이 높은 이유도 모르겠고 알바인가의심 될 정도 절대 보지마세요 영화 보는 내내 화가 났습니다 감독은 당장 은퇴 ㅎㅏ는거 추천
관람객,감독 차 어딨냐 그 차시트 밑에 폭탄 설치하게 영화 보는 내내 감독 욕만 나오더라 조우진 연기 빼곤 그저 암덩어리 영화
관람객,감독영화 만들지마라 너무했다 ㅋㅋ 내가 만들어도 이것보단ㅎㅎ
관람객,진짜 올해본 국내 최악의 영화는 발신제한이고외국 최악의 영화는 분노의질중 더 얼티메이트 이다
관람객,차 광고 본 거 같아요 뻔한 스토리 + 현실적인 이야기 없음 + 긴장감 없음 +재미없음 역시 이런 영화에 진경 씨 안 나오면 한국 영화가 아니죠.. 네..
관람객,야 알바새키들아 양심도없나 이런OOO가10점이라고?
관람객,갓 조우진  미쳐따♡기대주
관람객,영화는 리메크작이라 그냥 평범합니다. 단백해서 좋았습니다.조우진이라는 배우가 왜 이제야 주연을 맡은건지..진짜 연기하나는 정말 최고입니다. 조우진 연기 때문에 10점 주었습니다.
관람객,짜릿한 긴장감 시간순삭 조우진 연기 굿
관람객,조우진 배우님 연기도 좋았지만 지창욱 배우님의 목소리와 연기가 극 내내 몰입하는데 제대로 한 몫 했내요.
관람객,음악도 속도감있어서 좋았고 감동도있어서 좋았어요♡
관람객,"코로나 이후 오랜만에 관람한 영화...부산 도시 배경,  특히 배우분들 연기가 안정적이고 너무 좋음  강추"
관람객,90분간 진행되는 차 안에서의 점입가경 스릴러
관람객,그냥..보세요 킬링타임용으로 최고임
관람객,긴장감도 꽤 높고 재밌어요!
관람객,조우진씨 연기가 돋보였어요.결말은 살짝 아쉬우나 완성도 있는 스토리를 위해서라면 러닝타임은 더 필요할 것 같더라구요.대신 속도감 있는 전개로 지루하진 않으실 거에요.
관람객,오 졸라 생각없이 봤다가 재밋누
관람객,간만에 좋은 한국영화 봤습니다.쫄깃한 장면들. 눈물나는 장면들. 아역들 연기도 좋았구요.조우진 배우님 연기는 진짜 최고에요영화보는내내 즐거웠네요 ^^
관람객,이거 정말 재미 없어요 보지마세요
관람객,연기도 연기지만 너무 슬퍼요
관람객,아쉬운 스토리 그러나 연기는 매우 좋았다.
관람객,재미도없고 감동도없고
관람객,최악굳이 블루투스를 껴야쌨는지아이 다리는 왜 다쳤는지요철 지날때 덜컹거릴때 등 몇번은 터졌을테고신원 확인도 안한다
관람객,조우진 연기에 숨 안쉬어짐 ㄹㅇ...
관람객,심장 쫄깃한 스릴러 영화였네요 배우님들 시너지가 장난 아닙니다
관람객,"조우진님 첫주연영화라 보러 갔는데 배우분들 연기 외에는 추천할 요소가 없었습니다. 자동차가 너무 과하게 나오고,(스토리상 많이 나올 수밖에 없지만, 흔한 자동차cf로 착각될 정도로 카메라무빙 등의 연출이 너무 별로였..."
관람객,긴장하며 몰입해서 봤다. 조우진 연기 와우! 딸도 연기 잘하네. 지창욱 등장씬에 숨멎. 잘 버무러진 영화. 볼만하다
관람객,아침9시부터 평점남기는 알바들은 뭐야 ㅋㅋ 오늘 저녁에 보러갑니다오전에 올라오는 평점들은 믿고 거르세요
관람객,이 긴박감 짜릿해 ㅠ 오랜만에 스릴 넘치는 영화였음
관람객,한가지 의문... 애기 다리 도대체 왜 다친거래요??;;;
관람객,보는내내 지루하기 짝이 없었다
관람객,조우진님 연기빼고는 정말 노잼
관람객,부산 지리를 잘 아는 사람이 보면 답답한 영화
관람객,자동차 광고 .. 긴장감을 억지로 느끼고싶었지만 그닥 느끼기다 힘듦 ㅜㅜ
관람객,폰부스 표절영화.  그 이상 이하도 아님
관람객,뭔 내용이었는지 모르겠음
관람객,와 정말 잘봤습니다.영화의 절반 이상이 제네시스 광고이더군요.그리고 뻔한 신파에 반전없는 스토리 라인.다른건 몰라도 제작비는  확실히 안 들었다는 걸 알겠습니다.이 영화가 왜 평점이 높은건지 알 수 없군요....
관람객,연기가 좋은들 흘러가는 스토리가 발암인데 집중이 될 수가 없음. 너무 시간과 돈이 아까웠고 보고 나서 기분도 안좋은 영화
관람객,"치졸한 인질극, 어리버리 경찰"
관람객,전 재미없없음ㅜㅜ 경찰들 연기 너무 어색하고조우진 다음으로딸로 나오는분이 연기를 젤 잘한거같음콰이어트 플레이스 볼걸 후회함
관람객,
관람객,한국영화의 수준이 한단계 레벨 다운 된듯한 느낌을 받은 영화. 기대가 커서였을까. 드라마 한회차의 감동과 재미도 않되는 영화였다. 비밀의 숲. 철인왕후. 괴물 등 드라마 한 회차보다도 못한 스토리와 연출과 전개. 그...
